"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"Pin_Header_Straight_1x05_Pitch1.27mm";1;"Conn_01x05_Male";;;
2;"D2";"I2C_SSD1306_LCD";1;"I2C_SSD1306_LCD";;;
3;"D1";"LED4-2.0-D8.0MM";1;"DIP-LED-RGB-COMMON-ANODE_4P-D8MM_";;;
4;"HEATER1,HEATER2,NTC_AIR1,NTC_WELL1";"Pin_Header_Straight_1x02_Pitch2.54mm";4;"Conn_01x02_Female";;;
5;"J1";"BarrelJack_Horizontal";1;"Barrel_Jack_Switch";;;
6;"FAN1";"Molex_KK-6410-03_03x2.54mm_Straight";1;"Fan_3pin";;;
7;"Q1,Q2";"SOT95P240X112-3N";2;"BSP89";;;
8;"R4,R5,R7,R8,R12,R9,R14,R6,R10";"R_0603_HandSoldering";9;"47K";;;
9;"R11,R13";"R_0603_HandSoldering";2;"1K";;;
10;"R1,R3";"R_0603_HandSoldering";2;"15";;;
11;"R2";"R_0603_HandSoldering";1;"75";;;
12;"U1";"SeeeduinoXIAO-MOUDLE14P-2.54-21X17.8MM";1;"SeeeduinoXIAO";;;
13;"EXTRA_Q1";"TO-220-3_Vertical";1;"BSP89";;;
14;"TH1";"R_0603_HandSoldering";1;"Thermistor";;;
15;"SW1,SW0,SW2";"SW2-5.0-6.0X3.0X4.3MM";3;"DIP-BUTTON_2P-6.0X3.0X4.3MM_";;;
16;"CR1";"M24C02-RMN6TP";1;"M24C02-RMN6TP";;;
17;"C2";"C_0603_HandSoldering";1;"0.33uF";;;
18;"C3";"C_0603_HandSoldering";1;"0.1uF";;;
19;"U2";"TO-252";1;"PMIC-CJ78M05_TO-252_";;;
20;"JP1";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";1;"Jumper";;;
21;"C1";"ELECTRO-SMD-C-12.5x13.5MM";1;"CP";;;
